,n,sf,bw,cr,pwr,pa,br,t_est,t_meas,Q,I_avg
0,0.0,6.0,7800.0,5.0,2.0,1.0,585.0,0.48,321.59,15.930426613896152,55.20731482897186
1,1.0,6.0,7800.0,5.0,3.0,1.0,585.0,0.48,321.59,17.34167194564846,59.59565194067405
2,2.0,6.0,7800.0,5.0,4.0,1.0,585.0,0.48,321.59,18.379658445749648,62.82332226655853
3,3.0,6.0,7800.0,5.0,5.0,1.0,585.0,0.48,321.59,19.83362473278463,67.34450230025044
4,4.0,6.0,7800.0,5.0,6.0,1.0,585.0,0.48,321.59,21.662120652042372,73.03030073694853
5,5.0,6.0,7800.0,5.0,7.0,1.0,585.0,0.48,321.59,23.788524983123253,79.64246010471768
6,6.0,6.0,7800.0,5.0,8.0,1.0,585.0,0.48,321.58,25.79190505447271,85.87473977369743
7,7.0,6.0,7800.0,5.0,9.0,1.0,585.0,0.48,321.59,27.942170264043927,92.55842540500898
8,8.0,6.0,7800.0,5.0,10.0,1.0,585.0,0.48,321.58,30.180962398509134,99.5231549240066
9,9.0,6.0,7800.0,5.0,11.0,1.0,585.0,0.48,321.59,32.02163498070118,105.2437225742532
10,10.0,6.0,7800.0,5.0,12.0,1.0,585.0,0.48,321.58,33.91152237838164,111.12387629931757
11,11.0,6.0,7800.0,5.0,13.0,1.0,585.0,0.48,321.58,34.71287806384151,113.6158088991679
12,12.0,6.0,7800.0,5.0,14.0,1.0,585.0,0.48,321.58,34.80001064710089,113.88676039882391
13,13.0,7.0,7800.0,5.0,2.0,1.0,341.25,0.82,643.13,33.043340244026204,55.19839548249444
14,14.0,7.0,7800.0,5.0,3.0,1.0,341.25,0.82,643.13,35.87483261966127,59.60107048698041
15,15.0,7.0,7800.0,5.0,4.0,1.0,341.25,0.82,643.13,37.932126072797544,62.799947002049336
16,16.0,7.0,7800.0,5.0,5.0,1.0,341.25,0.82,643.13,40.87236956762196,67.37171864203567
17,17.0,7.0,7800.0,5.0,6.0,1.0,341.25,0.82,643.13,44.52857098711742,73.05673010083166
18,18.0,7.0,7800.0,5.0,7.0,1.0,341.25,0.82,643.12,48.82496358671969,79.73841185058797
19,19.0,7.0,7800.0,5.0,8.0,1.0,341.25,0.82,643.13,52.860006773222736,86.01124285269414
20,20.0,7.0,7800.0,5.0,9.0,1.0,341.25,0.82,643.13,57.06870169366617,92.55532401893336
21,21.0,7.0,7800.0,5.0,10.0,1.0,341.25,0.82,643.12,61.60291401848651,99.6070995477002
22,22.0,7.0,7800.0,5.0,11.0,1.0,341.25,0.82,643.12,65.30624572196027,105.36548321400471
23,23.0,7.0,7800.0,5.0,12.0,1.0,341.25,0.82,643.12,69.1091882782606,111.27875376429134
24,24.0,7.0,7800.0,5.0,13.0,1.0,341.25,0.82,643.13,70.71523438900473,113.774257508801
25,25.0,7.0,7800.0,5.0,14.0,1.0,341.25,0.82,643.12,70.94612665664162,114.13504555801727
26,26.0,8.0,7800.0,5.0,2.0,1.0,195.0,1.44,1122.37,58.36408230735682,55.21730943558968
27,27.0,8.0,7800.0,5.0,3.0,1.0,195.0,1.44,1122.37,63.33582176164117,59.64698900140519
28,28.0,8.0,7800.0,5.0,4.0,1.0,195.0,1.44,1122.37,67.09185527438561,62.993508876976016
29,29.0,8.0,7800.0,5.0,5.0,1.0,195.0,1.44,1122.37,72.09505155578664,67.4512155881328
30,30.0,8.0,7800.0,5.0,6.0,1.0,195.0,1.44,1122.37,78.52859487631923,73.18332115094417
31,31.0,8.0,7800.0,5.0,7.0,1.0,195.0,1.44,1122.37,85.8638950163047,79.718866594947
32,32.0,8.0,7800.0,5.0,8.0,1.0,195.0,1.44,1122.37,92.91166334779574,85.9982293108883
33,33.0,8.0,7800.0,5.0,9.0,1.0,195.0,1.44,1122.37,100.26135964522234,92.54660132495373
34,34.0,8.0,7800.0,5.0,10.0,1.0,195.0,1.44,1122.37,108.20451256553318,99.62372644439814
35,35.0,8.0,7800.0,5.0,11.0,1.0,195.0,1.44,1122.36,114.72554110823431,105.43471826517364
36,36.0,8.0,7800.0,5.0,12.0,1.0,195.0,1.44,1122.36,121.15492431469424,111.16316832260614
37,37.0,8.0,7800.0,5.0,13.0,1.0,195.0,1.44,1122.36,124.16812589595337,113.84786982770176
38,38.0,8.0,7800.0,5.0,14.0,1.0,195.0,1.44,1122.37,124.57261349429655,114.20724251197244
39,39.0,9.0,7800.0,5.0,2.0,1.0,109.69,2.56,2244.69,118.34305461754586,55.25816275015424
40,40.0,9.0,7800.0,5.0,3.0,1.0,109.69,2.56,2244.7,128.2510881086593,59.671884365285855
41,41.0,9.0,7800.0,5.0,4.0,1.0,109.69,2.56,2244.7,135.74263191749904,63.009320908627835
42,42.0,9.0,7800.0,5.0,5.0,1.0,109.69,2.56,2244.69,146.16359055003338,67.65209506708331
43,43.0,9.0,7800.0,5.0,6.0,1.0,109.69,2.56,2244.7,158.74973697968895,73.25884425793505
44,44.0,9.0,7800.0,5.0,7.0,1.0,109.69,2.56,2244.69,173.538306288136,79.84741635336455
45,45.0,9.0,7800.0,5.0,8.0,1.0,109.69,2.56,2244.69,187.53564059357683,86.08317020153103
46,46.0,9.0,7800.0,5.0,9.0,1.0,109.69,2.56,2244.69,202.0874535795993,92.56594198116318
47,47.0,9.0,7800.0,5.0,10.0,1.0,109.69,2.56,2244.69,217.90683324713348,99.61340941209313
48,48.0,9.0,7800.0,5.0,11.0,1.0,109.69,2.56,2244.69,230.67534630711188,105.30172853855532
49,49.0,9.0,7800.0,5.0,12.0,1.0,109.69,2.56,2244.69,243.56717230844507,111.04498306427298
